;name;year;s;sdate;e;edate;dur
259;о.Вилькицкого;2017.0;-99;-99.0;-99;-99.0;-99.0
260;о.Вилькицкого;2018.0;2018-07-13 00:00:00;194.0;2018-08-17 00:00:00;229.0;35.0
261;о.Вилькицкого;2019.0;-99;-99.0;-99;-99.0;-99.0
262;о.Вилькицкого;2020.0;2020-06-30 00:00:00;182.0;2020-12-15 00:00:00;350.0;168.0
263;о.Вилькицкого;2021.0;2021-07-06 00:00:00;187.0;2021-09-21 00:00:00;264.0;77.0
264;о.Диксон;1998.0;1998-07-22 00:00:00;203.0;1998-10-14 00:00:00;287.0;84.0
265;о.Диксон;1999.0;1999-07-14 00:00:00;195.0;1999-10-06 00:00:00;279.0;84.0
266;о.Диксон;2000.0;2000-07-05 00:00:00;187.0;2000-10-11 00:00:00;285.0;98.0
267;о.Диксон;2001.0;-99;-99.0;-99;-99.0;-99.0
268;о.Диксон;2002.0;2002-07-03 00:00:00;184.0;2002-10-09 00:00:00;282.0;98.0
269;о.Диксон;2003.0;2003-05-28 00:00:00;148.0;2003-12-10 00:00:00;344.0;196.0
270;о.Диксон;2004.0;2004-07-21 00:00:00;203.0;2004-12-22 00:00:00;357.0;154.0
271;о.Диксон;2005.0;2005-02-16 00:00:00;47.0;2005-11-23 00:00:00;327.0;280.0
272;о.Диксон;2006.0;2006-05-10 00:00:00;130.0;2006-11-29 00:00:00;333.0;203.0
273;о.Диксон;2007.0;2007-04-18 00:00:00;108.0;2007-11-07 00:00:00;311.0;203.0
274;о.Диксон;2008.0;2008-01-23 00:00:00;23.0;2008-10-06 00:00:00;280.0;257.0
275;о.Диксон;2009.0;2009-06-10 00:00:00;161.0;2009-10-20 00:00:00;293.0;132.0
276;о.Диксон;2010.0;2010-06-15 00:00:00;166.0;2010-11-02 00:00:00;306.0;140.0
277;о.Диксон;2011.0;2011-05-24 00:00:00;144.0;2011-12-27 00:00:00;361.0;217.0
278;о.Диксон;2012.0;2012-01-03 00:00:00;3.0;2012-10-16 00:00:00;290.0;287.0
279;о.Диксон;2013.0;2013-06-04 00:00:00;155.0;2013-10-08 00:00:00;281.0;126.0
280;о.Диксон;2014.0;2014-06-24 00:00:00;175.0;2014-07-08 00:00:00;189.0;14.0
281;о.Диксон;2015.0;-99;-99.0;-99;-99.0;-99.0
282;о.Диксон;2016.0;-99;-99.0;-99;-99.0;-99.0
283;о.Диксон;2017.0;-99;-99.0;-99;-99.0;-99.0
284;о.Диксон;2018.0;2018-07-13 00:00:00;194.0;2018-08-17 00:00:00;229.0;35.0
285;о.Диксон;2019.0;-99;-99.0;-99;-99.0;-99.0
